age,gender,demographic_info,previous_search_history
24,female,"Urban professional, San Francisco CA, single, early-career, software engineer, renter, high-income","fitness classes; skincare; travel deals; coffee shops; yoga mats"
32,male,"Suburban dad, Austin TX, married with kids, mid-career, sales manager, homeowner, mid-income","NFL scores; BBQ grills; home improvement; youth soccer; family SUVs"
19,female,"College student, New York NY, dormitory, student, part-time barista, renter, low-income","TikTok trends; fast fashion; concert tickets; student discounts; ramen"
45,male,"Senior manager, Chicago IL, married, late-career, finance director, homeowner, high-income","business travel; golf equipment; WSJ; luxury watches; airport lounges"
28,female,"Freelancer, Miami FL, single, early-career, graphic designer, renter, mid-income","yoga studios; vegan restaurants; photography gear; Spotify playlists; beach reads"
38,male,"Suburban homeowner, Denver CO, married, mid-career, teacher, homeowner, mid-income","hiking gear; craft beer; national parks; DIY projects; family camping"
22,non-binary,"Urban student, Portland OR, shared house, student, barista, renter, low-income","thrift stores; indie music; vegan food; bike accessories; climate change"
55,female,"Empty nester, Nashville TN, divorced, late-career, nurse, homeowner, mid-income","wine tasting; gardening; grandchildren gifts; book clubs; cruise deals"
29,male,"Young professional, Seattle WA, single, early-career, UX designer, renter, high-income","coffee culture; tech gadgets; rock climbing; weekend trips; craft cocktails"
41,female,"Suburban mom, Phoenix AZ, married, mid-career, marketing manager, homeowner, high-income","meal kit delivery; school supplies; spa days; Netflix; minivans"
26,male,"Urban renter, Los Angeles CA, roommates, early-career, aspiring actor, renter, low-income","auditions; gym memberships; Instagram; plant-based food; side hustles"
50,male,"Rural homeowner, Dallas TX, married, mid-career, contractor, homeowner, mid-income","pickup trucks; country music; fishing gear; home depot; church events"
34,female,"Suburban professional, Boston MA, single parent, mid-career, attorney, renter, high-income","childcare; power suits; meal prep; continuing education; wine delivery"
21,male,"College athlete, Columbus OH, dormitory, student, part-time tutor, renter, low-income","protein supplements; sports recovery; gaming; cheap eats; campus life"
47,female,"Senior executive, San Jose CA, married, late-career, VP engineering, homeowner, high-income","leadership books; travel upgrades; wellness apps; private schools; art collecting"
31,male,"City dweller, Washington DC, single, early-career, policy analyst, renter, mid-income","think tanks; road cycling; political podcasts; specialty coffee; renting furniture"
27,female,"Small town resident, Charlotte NC, engaged, early-career, dental hygienist, renter, mid-income","wedding planning; homebuying tips; gym selfies; Sephora; road trips"
60,male,"Retiree, Scottsdale AZ, married, retired, former engineer, homeowner, high-income","golf courses; RV travel; Medicare supplements; grandkids; financial planning"
23,female,"Recent grad, Atlanta GA, with parents, entry-level, social media coordinator, renter, low-income","beauty influencers; brunch spots; HBCU culture; networking events; thrifting"
36,non-binary,"Urban professional, Denver CO, partnered, mid-career, therapist, renter, mid-income","mindfulness apps; queer spaces; hiking; NPR; plant parenting"
44,male,"Suburban dad, Minneapolis MN, married with teens, mid-career, operations manager, homeowner, mid-income","fantasy football; ice fishing; Costco runs; lawn care; classic rock"
30,female,"Expat professional, San Diego CA, partnered, mid-career, biotech researcher, renter, high-income","farmers markets; pilates; international travel; wine clubs; science podcasts"
25,male,"Gig worker, Houston TX, single, early-career, delivery driver, renter, low-income","gas prices; fast food deals; basketball; gaming; streaming services"
52,female,"Suburban professional, Raleigh NC, married, late-career, HR director, homeowner, mid-income","leadership courses; book clubs; weekend getaways; healthy recipes; empty-nesting"
18,male,"High school senior, Sacramento CA, family home, student, no income","college prep; gaming; sneakers; social media; pizza delivery"
